,SPST Switch,$1.99,https://www.aliexpress.com/item/3256808339093438.html?spm=a2g0o.cart.0.0.122038daZXAl2S&mp=1&pdp_npi=6%40dis%21USD%21USD%202.54%21USD%201.99%21%21USD%201.99%21%21%21%402101c44517813803476522247ea277%2112000045558767272%21ct%21US%217130607314%21%211%210%21&_gl=1*18uhkc9*_gcl_aw*R0NMLjE3NzU1MjQ5NTMuRUFJYUlRb2JDaE1JNnBHZDZzbmFrd01WVVZ6X0FSMGtPeThKRUFRWUFTQUJFZ0tLM3ZEX0J3RQ..*_gcl_dc*R0NMLjE3NzU1MjQ5NTMuRUFJYUlRb2JDaE1JNnBHZDZzbmFrd01WVVZ6X0FSMGtPeThKRUFRWUFTQUJFZ0tLM3ZEX0J3RQ..*_gcl_au*MTU3Mjk0NTk3Ny4xNzc2NDY5NDA1*_ga*MjA2NzEyNDg1NC4xNzcxMzg3Mzg1*_ga_VED1YSGNC7*czE3ODEzODAzMzQkbzgyJGcxJHQxNzgxMzgwMzM5JGo1NSRsMCRoMA..,SPST to make Turning On and OFF simpler,,1
,\,,,,,
,,,,,,
,,,,,,
Below Totals contain Tax and Shipping ,,,,,,
,,,,,,
Grant Amount ,$30.04,,,,,
Shipping ,$1.09,,,,,
Additonal Charges,$1.99,,,,,
Total,$32.03,,,,,
